,city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state,City,State,Is_capital,Is_top_5,IDHM,IDHM_ranking,IDHM_longevity,Age_until_1,Age_1-4,Age_5-9,Age_10-14,Age_15-69,Age_60+,Population,Tourism_category,Rural_urban,Hotels,Companies,Cars,Motorcycles,Latitude,Longitude
5182,Campinas,3509502,192,15.94588,2020-04-20,0.0365,7,1204073.0,False,28,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5183,Campinas,3509502,184,15.28147,2020-04-19,0.038,7,1204073.0,False,27,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5184,Campinas,3509502,184,15.28147,2020-04-18,0.038,7,1204073.0,False,26,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5185,Campinas,3509502,164,13.62044,2020-04-17,0.0427,7,1204073.0,False,25,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5186,Campinas,3509502,149,12.37466,2020-04-16,0.047,7,1204073.0,False,24,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5187,Campinas,3509502,142,11.7933,2020-04-15,0.0352,5,1204073.0,False,23,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5188,Campinas,3509502,112,9.30176,2020-04-14,0.0446,5,1204073.0,False,22,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5189,Campinas,3509502,107,8.8865,2020-04-13,0.0467,5,1204073.0,False,21,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5190,Campinas,3509502,106,8.80345,2020-04-12,0.0472,5,1204073.0,False,20,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5191,Campinas,3509502,100,8.30514,2020-04-11,0.05,5,1204073.0,False,19,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5192,Campinas,3509502,100,8.30514,2020-04-10,0.05,5,1204073.0,False,18,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5193,Campinas,3509502,83,6.89327,2020-04-09,0.0602,5,1204073.0,False,17,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5194,Campinas,3509502,72,5.9797,2020-04-08,0.0694,5,1204073.0,False,16,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5195,Campinas,3509502,50,4.15257,2020-04-07,0.08,4,1204073.0,False,15,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5196,Campinas,3509502,28,2.32544,2020-04-06,0.1429,4,1204073.0,False,14,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5197,Campinas,3509502,26,2.15934,2020-04-05,0.1538,4,1204073.0,False,13,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5198,Campinas,3509502,26,2.15934,2020-04-04,0.1538,4,1204073.0,False,12,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5199,Campinas,3509502,24,1.99323,2020-04-03,0.0417,1,1204073.0,False,11,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5200,Campinas,3509502,23,1.91018,2020-04-02,0.0435,1,1204073.0,False,10,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5201,Campinas,3509502,22,1.82713,2020-04-01,0.0455,1,1204073.0,False,9,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5202,Campinas,3509502,15,1.24577,2020-03-31,0.0667,1,1204073.0,False,8,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5203,Campinas,3509502,11,0.91357,2020-03-30,,0,1204073.0,False,7,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5204,Campinas,3509502,5,0.41526,2020-03-27,,0,1204073.0,False,6,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5205,Campinas,3509502,4,0.33221,2020-03-26,,0,1204073.0,False,5,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5206,Campinas,3509502,4,0.33221,2020-03-25,,0,1204073.0,False,4,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5207,Campinas,3509502,1,0.08305,2020-03-20,,0,1204073.0,False,3,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5208,Campinas,3509502,1,0.08305,2020-03-19,,0,1204073.0,False,2,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5209,Campinas,3509502,1,0.08305,2020-03-18,,0,1204073.0,False,1,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5487,Guarulhos,3518800,356,25.8124,2020-04-23,0.118,42,1379182.0,True,32,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5488,Guarulhos,3518800,331,23.99973,2020-04-22,0.0846,28,1379182.0,False,31,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5489,Guarulhos,3518800,330,23.92723,2020-04-21,0.0848,28,1379182.0,False,30,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5490,Guarulhos,3518800,316,22.91213,2020-04-20,0.0886,28,1379182.0,False,29,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5491,Guarulhos,3518800,308,22.33208,2020-04-19,0.0909,28,1379182.0,False,28,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5492,Guarulhos,3518800,305,22.11456,2020-04-18,0.0918,28,1379182.0,False,27,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5493,Guarulhos,3518800,295,21.38949,2020-04-17,0.0949,28,1379182.0,False,26,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5494,Guarulhos,3518800,269,19.50431,2020-04-16,0.0929,25,1379182.0,False,25,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5495,Guarulhos,3518800,253,18.34421,2020-04-15,0.087,22,1379182.0,False,24,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5496,Guarulhos,3518800,214,15.51644,2020-04-14,0.0888,19,1379182.0,False,23,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5497,Guarulhos,3518800,200,14.50135,2020-04-13,0.085,17,1379182.0,False,22,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5498,Guarulhos,3518800,198,14.35634,2020-04-12,0.0808,16,1379182.0,False,21,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5499,Guarulhos,3518800,191,13.84879,2020-04-11,0.0838,16,1379182.0,False,20,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5500,Guarulhos,3518800,178,12.9062,2020-04-10,0.0899,16,1379182.0,False,19,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5501,Guarulhos,3518800,154,11.16604,2020-04-09,0.0714,11,1379182.0,False,18,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5502,Guarulhos,3518800,119,8.6283,2020-04-08,0.0588,7,1379182.0,False,17,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5503,Guarulhos,3518800,74,5.3655,2020-04-07,0.0946,7,1379182.0,False,16,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5504,Guarulhos,3518800,63,4.56793,2020-04-06,0.0952,6,1379182.0,False,15,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5505,Guarulhos,3518800,62,4.49542,2020-04-05,0.0806,5,1379182.0,False,14,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5506,Guarulhos,3518800,62,4.49542,2020-04-04,0.0806,5,1379182.0,False,13,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5507,Guarulhos,3518800,52,3.77035,2020-04-03,0.0385,2,1379182.0,False,12,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5508,Guarulhos,3518800,35,2.53774,2020-04-02,0.0571,2,1379182.0,False,11,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5509,Guarulhos,3518800,25,1.81267,2020-04-01,0.08,2,1379182.0,False,10,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5510,Guarulhos,3518800,21,1.52264,2020-03-31,0.0952,2,1379182.0,False,9,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
