# Initial condition for 2020-04-23
,S0,E0,I0,R0
São Caetano Do Sul,0.9525257309480748,0.020077759530155496,0.00801991789507627,0.019376599216018735
São Carlos,0.9966921608503768,0.0014707124918690944,0.0005776349670919698,0.0012594916906620663
São José Do Rio Preto,0.9862083487738741,0.005942194115880903,0.002340022364404522,0.005509434745840394
São José Dos Campos,0.9842518428125004,0.006788230272390446,0.002675078565727472,0.006284848349381524
São Paulo,0.9368544509130896,0.02645311752728001,0.010610579247559452,0.026081860306528683
São Vicente,0.9871950957579189,0.005576207370158244,0.0021954429275900405,0.005033253944332729
Sertãozinho,0.99345413292973,0.002950209574203849,0.001158202693036741,0.002437454803029403
Sorocaba,0.9934818980004299,0.00282882422888258,0.0011122669763951438,0.0025770107942925235
Sumaré,0.9979310855480995,0.0009152293731715191,0.00035958826958099206,0.0007941060429932276
Suzano,0.9752189470127226,0.010643201389192116,0.004204417328768025,0.009933434269317334
Taboão Da Serra,0.9663964854252446,0.014380439360906912,0.005711428964356713,0.013511646249491964
Taubaté,0.9980219830580406,0.0008551633429228398,0.0003356940032032422,0.0007871694099400787
Várzea Paulista,0.9967382475509522,0.0015973404436844612,0.0006265407857494147,0.0010378712196140157
Votorantim,0.9964597763206068,0.0015376856835344764,0.0006047936569188447,0.001397754219937908
