,city,date,confirmed,estimated_population_2019,icu_capacity,state
127,Araraquara,2020-07-01,2472,991435.0,0.0001453852244473919,SP
128,Araraquara,2020-07-02,2579,991435.0,0.0001453852244473919,SP
129,Araraquara,2020-07-03,2654,991435.0,0.0001453852244473919,SP
130,Araraquara,2020-07-04,2679,991435.0,0.0001453852244473919,SP
131,Araraquara,2020-07-05,2809,991435.0,0.0001453852244473919,SP
132,Araraquara,2020-07-06,2829,991435.0,0.0001453852244473919,SP
133,Araraquara,2020-07-07,2916,991435.0,0.0001453852244473919,SP
134,Araraquara,2020-07-08,3041,991435.0,0.0001453852244473919,SP
135,Araraquara,2020-07-09,3118,991435.0,0.0001453852244473919,SP
136,Araraquara,2020-07-10,3277,991435.0,0.0001453852244473919,SP
137,Araraquara,2020-07-11,3343,991435.0,0.0001453852244473919,SP
138,Araraquara,2020-07-12,3425,991435.0,0.0001453852244473919,SP
139,Araraquara,2020-07-13,3451,991435.0,0.0001453852244473919,SP
140,Araraquara,2020-07-14,3580,991435.0,0.0001453852244473919,SP
141,Araraquara,2020-07-15,3639,991435.0,0.0001453852244473919,SP
142,Araraquara,2020-07-16,3764,991435.0,0.0001453852244473919,SP
143,Araraquara,2020-07-17,3825,991435.0,0.0001453852244473919,SP
144,Araraquara,2020-07-18,3853,991435.0,0.0001453852244473919,SP
145,Araraquara,2020-07-19,3886,991435.0,0.0001453852244473919,SP
146,Araraquara,2020-07-20,3923,991435.0,0.0001453852244473919,SP
147,Araraquara,2020-07-21,4025,991435.0,0.0001453852244473919,SP
148,Araraquara,2020-07-22,4276,991435.0,0.0001453852244473919,SP
149,Araraquara,2020-07-23,4452,991435.0,0.0001453852244473919,SP
150,Araraquara,2020-07-24,4591,991435.0,0.0001453852244473919,SP
151,Araraquara,2020-07-25,4807,991435.0,0.0001453852244473919,SP
152,Araraquara,2020-07-26,4849,991435.0,0.0001453852244473919,SP
153,Araraquara,2020-07-27,4877,991435.0,0.0001453852244473919,SP
154,Araraquara,2020-07-28,5168,991435.0,0.0001453852244473919,SP
155,Araraquara,2020-07-29,5374,991435.0,0.0001453852244473919,SP
156,Araçatuba,2020-02-25,0,764041.0,0.00017033117332708583,SP
157,Araçatuba,2020-02-26,0,764041.0,0.00017033117332708583,SP
158,Araçatuba,2020-02-27,0,764041.0,0.00017033117332708583,SP
159,Araçatuba,2020-02-28,0,764041.0,0.00017033117332708583,SP
160,Araçatuba,2020-02-29,0,764041.0,0.00017033117332708583,SP
161,Araçatuba,2020-03-01,0,764041.0,0.00017033117332708583,SP
162,Araçatuba,2020-03-02,0,764041.0,0.00017033117332708583,SP
163,Araçatuba,2020-03-03,0,764041.0,0.00017033117332708583,SP
164,Araçatuba,2020-03-04,0,764041.0,0.00017033117332708583,SP
165,Araçatuba,2020-03-05,0,764041.0,0.00017033117332708583,SP
166,Araçatuba,2020-03-06,0,764041.0,0.00017033117332708583,SP
167,Araçatuba,2020-03-07,0,764041.0,0.00017033117332708583,SP
168,Araçatuba,2020-03-08,0,764041.0,0.00017033117332708583,SP
169,Araçatuba,2020-03-09,0,764041.0,0.00017033117332708583,SP
170,Araçatuba,2020-03-10,0,764041.0,0.00017033117332708583,SP
171,Araçatuba,2020-03-11,0,764041.0,0.00017033117332708583,SP
172,Araçatuba,2020-03-12,0,764041.0,0.00017033117332708583,SP
173,Araçatuba,2020-03-13,0,764041.0,0.00017033117332708583,SP
174,Araçatuba,2020-03-14,0,764041.0,0.00017033117332708583,SP
175,Araçatuba,2020-03-15,0,764041.0,0.00017033117332708583,SP
176,Araçatuba,2020-03-16,0,764041.0,0.00017033117332708583,SP
177,Araçatuba,2020-03-17,0,764041.0,0.00017033117332708583,SP
178,Araçatuba,2020-03-18,0,764041.0,0.00017033117332708583,SP
179,Araçatuba,2020-03-19,0,764041.0,0.00017033117332708583,SP
180,Araçatuba,2020-03-20,0,764041.0,0.00017033117332708583,SP
181,Araçatuba,2020-03-21,0,764041.0,0.00017033117332708583,SP
182,Araçatuba,2020-03-22,0,764041.0,0.00017033117332708583,SP
183,Araçatuba,2020-03-23,0,764041.0,0.00017033117332708583,SP
184,Araçatuba,2020-03-24,0,764041.0,0.00017033117332708583,SP
185,Araçatuba,2020-03-25,0,764041.0,0.00017033117332708583,SP
186,Araçatuba,2020-03-26,0,764041.0,0.00017033117332708583,SP
187,Araçatuba,2020-03-27,0,764041.0,0.00017033117332708583,SP
188,Araçatuba,2020-03-28,0,764041.0,0.00017033117332708583,SP
189,Araçatuba,2020-03-29,0,764041.0,0.00017033117332708583,SP
190,Araçatuba,2020-03-30,1,764041.0,0.00017033117332708583,SP
191,Araçatuba,2020-03-31,2,764041.0,0.00017033117332708583,SP
192,Araçatuba,2020-04-01,3,764041.0,0.00017033117332708583,SP
193,Araçatuba,2020-04-02,3,764041.0,0.00017033117332708583,SP
194,Araçatuba,2020-04-03,3,764041.0,0.00017033117332708583,SP
195,Araçatuba,2020-04-04,7,764041.0,0.00017033117332708583,SP
196,Araçatuba,2020-04-05,7,764041.0,0.00017033117332708583,SP
197,Araçatuba,2020-04-06,12,764041.0,0.00017033117332708583,SP
198,Araçatuba,2020-04-07,13,764041.0,0.00017033117332708583,SP
199,Araçatuba,2020-04-08,18,764041.0,0.00017033117332708583,SP
200,Araçatuba,2020-04-09,19,764041.0,0.00017033117332708583,SP
201,Araçatuba,2020-04-10,20,764041.0,0.00017033117332708583,SP
202,Araçatuba,2020-04-11,20,764041.0,0.00017033117332708583,SP
203,Araçatuba,2020-04-12,20,764041.0,0.00017033117332708583,SP
204,Araçatuba,2020-04-13,20,764041.0,0.00017033117332708583,SP
205,Araçatuba,2020-04-14,24,764041.0,0.00017033117332708583,SP
206,Araçatuba,2020-04-15,41,764041.0,0.00017033117332708583,SP
207,Araçatuba,2020-04-16,49,764041.0,0.00017033117332708583,SP
208,Araçatuba,2020-04-17,54,764041.0,0.00017033117332708583,SP
209,Araçatuba,2020-04-18,55,764041.0,0.00017033117332708583,SP
210,Araçatuba,2020-04-19,55,764041.0,0.00017033117332708583,SP
211,Araçatuba,2020-04-20,59,764041.0,0.00017033117332708583,SP
212,Araçatuba,2020-04-21,60,764041.0,0.00017033117332708583,SP
213,Araçatuba,2020-04-22,62,764041.0,0.00017033117332708583,SP
214,Araçatuba,2020-04-23,65,764041.0,0.00017033117332708583,SP
215,Araçatuba,2020-04-24,78,764041.0,0.00017033117332708583,SP
216,Araçatuba,2020-04-25,91,764041.0,0.00017033117332708583,SP
217,Araçatuba,2020-04-26,91,764041.0,0.00017033117332708583,SP
218,Araçatuba,2020-04-27,97,764041.0,0.00017033117332708583,SP
219,Araçatuba,2020-04-28,106,764041.0,0.00017033117332708583,SP
220,Araçatuba,2020-04-29,114,764041.0,0.00017033117332708583,SP
221,Araçatuba,2020-04-30,123,764041.0,0.00017033117332708583,SP
222,Araçatuba,2020-05-01,132,764041.0,0.00017033117332708583,SP
223,Araçatuba,2020-05-02,133,764041.0,0.00017033117332708583,SP
224,Araçatuba,2020-05-03,145,764041.0,0.00017033117332708583,SP
225,Araçatuba,2020-05-04,146,764041.0,0.00017033117332708583,SP
226,Araçatuba,2020-05-05,158,764041.0,0.00017033117332708583,SP
227,Araçatuba,2020-05-06,188,764041.0,0.00017033117332708583,SP
228,Araçatuba,2020-05-07,195,764041.0,0.00017033117332708583,SP
229,Araçatuba,2020-05-08,208,764041.0,0.00017033117332708583,SP
230,Araçatuba,2020-05-09,219,764041.0,0.00017033117332708583,SP
231,Araçatuba,2020-05-10,222,764041.0,0.00017033117332708583,SP
232,Araçatuba,2020-05-11,222,764041.0,0.00017033117332708583,SP
233,Araçatuba,2020-05-12,230,764041.0,0.00017033117332708583,SP
234,Araçatuba,2020-05-13,247,764041.0,0.00017033117332708583,SP
235,Araçatuba,2020-05-14,256,764041.0,0.00017033117332708583,SP
236,Araçatuba,2020-05-15,273,764041.0,0.00017033117332708583,SP
237,Araçatuba,2020-05-16,291,764041.0,0.00017033117332708583,SP
238,Araçatuba,2020-05-17,293,764041.0,0.00017033117332708583,SP
239,Araçatuba,2020-05-18,293,764041.0,0.00017033117332708583,SP
240,Araçatuba,2020-05-19,305,764041.0,0.00017033117332708583,SP
241,Araçatuba,2020-05-20,325,764041.0,0.00017033117332708583,SP
242,Araçatuba,2020-05-21,342,764041.0,0.00017033117332708583,SP
243,Araçatuba,2020-05-22,353,764041.0,0.00017033117332708583,SP
244,Araçatuba,2020-05-23,366,764041.0,0.00017033117332708583,SP
245,Araçatuba,2020-05-24,367,764041.0,0.00017033117332708583,SP
246,Araçatuba,2020-05-25,372,764041.0,0.00017033117332708583,SP
247,Araçatuba,2020-05-26,376,764041.0,0.00017033117332708583,SP
248,Araçatuba,2020-05-27,384,764041.0,0.00017033117332708583,SP
249,Araçatuba,2020-05-28,398,764041.0,0.00017033117332708583,SP
250,Araçatuba,2020-05-29,407,764041.0,0.00017033117332708583,SP
251,Araçatuba,2020-05-30,418,764041.0,0.00017033117332708583,SP
252,Araçatuba,2020-05-31,423,764041.0,0.00017033117332708583,SP
253,Araçatuba,2020-06-01,426,764041.0,0.00017033117332708583,SP
254,Araçatuba,2020-06-02,452,764041.0,0.00017033117332708583,SP
255,Araçatuba,2020-06-03,469,764041.0,0.00017033117332708583,SP
256,Araçatuba,2020-06-04,480,764041.0,0.00017033117332708583,SP
257,Araçatuba,2020-06-05,493,764041.0,0.00017033117332708583,SP
258,Araçatuba,2020-06-06,528,764041.0,0.00017033117332708583,SP
259,Araçatuba,2020-06-07,535,764041.0,0.00017033117332708583,SP
260,Araçatuba,2020-06-08,540,764041.0,0.00017033117332708583,SP
261,Araçatuba,2020-06-09,574,764041.0,0.00017033117332708583,SP
262,Araçatuba,2020-06-10,598,764041.0,0.00017033117332708583,SP
263,Araçatuba,2020-06-11,634,764041.0,0.00017033117332708583,SP
264,Araçatuba,2020-06-12,650,764041.0,0.00017033117332708583,SP
265,Araçatuba,2020-06-13,680,764041.0,0.00017033117332708583,SP
266,Araçatuba,2020-06-14,705,764041.0,0.00017033117332708583,SP
267,Araçatuba,2020-06-15,716,764041.0,0.00017033117332708583,SP
268,Araçatuba,2020-06-16,755,764041.0,0.00017033117332708583,SP
269,Araçatuba,2020-06-17,759,764041.0,0.00017033117332708583,SP
