nome_drs,Araraquara,Araçatuba,Baixada Santista,Barretos,Bauru,Campinas,Franca,Marília,SP,Piracicaba,Presidente Prudente,Registro,Ribeirão Preto,Sorocaba,E,N,W,SE,SW,São José do Rio Preto,São João da Boa Vista,Taubaté
Presidente Prudente,3.050736869074144e-05,0.0015889811846876555,6.676584790677834e-06,3.847959336710094e-05,0.00024485930487694145,1.5713430618996976e-05,1.5275204846624413e-05,0.005564818790999034,1.4285798513123114e-05,1.4255040611340047e-05,0.9891811933944344,2.136638588631563e-06,1.6157984242256047e-05,4.233739279431458e-05,9.67401345202369e-06,7.890634373065731e-06,1.1360070387833652e-05,4.436213338450068e-06,5.74307829784454e-06,0.0001389742028891395,4.953736425134828e-06,5.176028016585497e-06
Registro,1.0687094856162624e-05,0.0,0.0017113117453813479,2.0825297527066575e-06,1.5874437707399843e-05,8.324265518639328e-05,1.1055923651452132e-05,4.054179604332537e-06,0.00010319955674357346,5.924441972789023e-05,1.7814585892784179e-06,0.9431451969325231,1.1630523078023e-05,0.00044065457682310476,9.085085890573804e-05,8.942979912691995e-05,0.00012252574674933938,8.573495968004294e-05,0.0016576090966821313,2.847500619693347e-06,1.594690084846442e-05,7.86056191309752e-05
Ribeirão Preto,0.007397100877052803,0.00016051593827020588,5.741730707500404e-05,0.00994954682577245,0.00046019900886671124,0.00027154782166857196,0.010317467474733544,0.0002682743934762389,8.269110979835377e-05,0.0017114335646898232,6.348705071501308e-05,0.0001487869947259791,0.985014048537638,5.5866120856559125e-05,5.316106190359798e-05,0.00012986973775527767,4.618653253822264e-05,2.985067520579803e-05,5.480265222872102e-05,0.0009747110636346911,0.002933228134975224,6.342028112960512e-05
Sorocaba,0.00023579129123615925,7.395317215993484e-05,0.0005028845181116095,6.475749729738249e-05,0.004454479549538471,0.003344641130062935,5.539217911912014e-05,0.0005884382063467695,0.0008680156348096405,0.002224723445398759,8.778041517196597e-05,0.005384389868973694,9.31293765521492e-05,0.9758604686554947,0.00046737340313029736,0.0006297853352803286,0.0038864912805190023,0.0005328594095811237,0.005267629964697332,4.179248159626667e-05,0.0003038231184360466,0.0002968187488354149
E,0.00013274555541669162,3.0303508017067118e-05,0.00190953721588708,5.744044964809979e-05,0.00017616888805640658,0.0011151943131460019,4.817418595860434e-05,7.271733706719652e-05,0.018812512318666392,0.0003381805749660108,5.182991261393146e-05,0.001828333556179399,0.00010273463354296963,0.0005724857925280757,0.8984489159668613,0.005366162608497671,0.0023421344118731697,0.004814846467832443,0.0019156458288441649,4.9725855875915695e-05,0.0001618529845359812,0.004009230407926409
N,8.289843529126311e-05,5.469517720475617e-06,0.00023673773577414194,3.74379809872474e-05,3.88733296374365e-05,0.0034149168106768634,2.1634250713993708e-05,2.011073913987175e-05,0.003133716986110269,0.00023589882131007552,3.585015939517405e-06,0.0006029188236442879,4.661889219602695e-05,0.0001520656362616851,0.0008375288377148019,0.8517700306353536,0.00588227972813403,0.0003296439004077528,0.0008130897539571798,1.617170046249891e-05,0.00016714788532725446,8.58603302654476e-05
W,0.00011880527230694365,3.399349828190997e-05,0.00089202185506222,2.8870420868343085e-05,0.00034275531146291235,0.0011376434321915556,5.405900097701954e-05,0.00015459368937525639,0.013748503496039063,0.0003408429960419265,5.069778230879645e-05,0.0018850756874551513,7.830845356343744e-05,0.0033618466457126764,0.0018514241724167757,0.017622087933904868,0.8835154332427388,0.0018030378290918054,0.02755131974174765,2.751209624969665e-05,0.00018016157651030187,0.0004292109496453568
SE,0.0001296062872298585,2.654015008651337e-05,0.003472406960840866,6.233602948251808e-05,0.00019176623859401125,0.0007892019129087378,4.336099396963306e-05,6.90614460677509e-05,0.019094634928566657,0.0003316500256904464,3.7977009787844715e-05,0.001651019444090487,7.560786976178433e-05,0.0006853091266942145,0.004744032525545713,0.0019511413377218936,0.002341266723605912,0.9021248306403424,0.002932615995577194,3.730505474610772e-05,0.00017737961223352898,0.0007564671279213287
SW,5.8080279406479696e-05,6.120780368648441e-06,0.0005562811447396452,2.031328512991403e-05,7.892847102849321e-05,0.0003610989706868193,2.018745385693011e-05,4.0182445521599406e-05,0.012054540835538183,0.00014362501001337878,1.3104193742678988e-05,0.007643783292462795,4.351043945521152e-05,0.0025448596903269866,0.0006893003032717504,0.0013398934457514078,0.014995140952209409,0.0010424974290395121,0.8120869894337238,1.1615414167767717e-05,9.621653451858447e-05,0.00023542956080765796
São José do Rio Preto,0.0032621756337184106,0.007157529360064472,2.960039932778753e-05,0.011136143631702278,0.0007886940323142823,0.00010514545309908275,0.0004587611427325055,0.0007596382771796377,4.482936159179431e-05,0.0002471623061019001,0.00044536449615036554,4.18935678238815e-05,0.0007848315315531135,2.5828984855394324e-05,2.9060347774368524e-05,4.583844207955109e-05,2.0660034958450657e-05,1.5906890997538214e-05,1.0961231370208137e-05,0.9887804525468807,8.020939350975251e-05,3.139579926844686e-05
São João da Boa Vista,0.0005756977963876287,1.4661617548480649e-05,3.81621541581527e-05,8.904627379093605e-05,9.271120019897713e-05,0.0014506810208653326,0.0001409204050326293,2.5210621247545904e-05,5.3725119561622536e-05,0.0024723112012301875,4.753985890044798e-06,0.00010763481102066234,0.0010140264740883542,6.989037554737707e-05,2.8069030654928454e-05,0.0001239679467006501,4.2345535878769455e-05,3.300638454885331e-05,5.676320550022649e-05,1.6852463557316617e-05,0.9774377916633145,5.617182376716091e-05
Taubaté,0.00016838305811084315,3.0070309831973627e-05,0.0009166596701411031,6.797449253355903e-05,0.00012718131940181264,0.0009182632179241414,8.107777206687102e-05,7.782108385786623e-05,0.0008585063762901689,0.0004971157603276244,1.996567970402524e-05,0.0014104612067176747,0.00010392561494141626,0.0003293063514605618,0.004187503592190991,0.0005201976810679063,0.00044516491376555005,0.0006920091936271967,0.0005102784115227852,4.1219046017015474e-05,0.0003278302400592878,0.9868569871225608
